Parameter,Nominal,best,nominal-linear,best-linear,nominal-likelihood,likelihood
theta1,0.2,-0.5313884600960944,0.2,0.29417891367899285,-3.418410586028321,-5.748130232114914
theta2,0.1,-1.2443781769709166,0.1,0.05696679980865264,-3.418410586028321,-5.748130232114914
theta3,0.0,-2.75524769700428,0.0,0.00175692127964024,-3.418410586028321,-5.748130232114914
sigma,0.15,-1.0322997643597869,0.15,0.09283254048127003,-3.418410586028321,-5.748130232114914
